2000-12-06,0.9125
2000-12-07,0.9125
2000-12-08,0.9604
2000-12-11,0.9687
2000-12-12,0.9808
2000-12-13,0.9565
2000-12-14,0.9208
2000-12-15,0.8966
2000-12-18,0.9087
2000-12-19,0.8928
2000-12-20,0.917
2000-12-21,0.8966
2000-12-22,0.9565
2000-12-26,0.9368
2000-12-27,0.9444
2000-12-28,0.9444
2000-12-29,0.9489
2001-01-02,0.9489
2001-01-03,1.0439
2001-01-04,1.0879
2001-01-05,1.0439
2001-01-08,1.056
2001-01-09,1.0962
2001-01-10,1.056
2001-01-11,1.1478
2001-01-12,1.0962
2001-01-16,1.0917
2001-01-17,1.072
2001-01-18,1.1918
2001-01-19,1.2435
2001-01-22,1.2276
2001-01-23,1.3073
2001-01-24,1.3073
2001-01-25,1.2716
2001-01-26,1.2473
2001-01-29,1.3832
2001-01-30,1.387
2001-01-31,1.3787
2001-02-01,1.3468
2001-02-02,1.3149
2001-02-05,1.2875
2001-02-06,1.3468
2001-02-07,1.3232
2001-02-08,1.3232
2001-02-09,1.2193
2001-02-12,1.2556
2001-02-13,1.2193
2001-02-14,1.2435
2001-02-15,1.2792
2001-02-16,1.2116
2001-02-20,1.1676
2001-02-21,1.2033
2001-02-22,1.1995
2001-02-23,1.1995
2001-02-26,1.2435
2001-02-27,1.2352
2001-02-28,1.1638
2001-03-01,1.1957
2001-03-02,1.2276
2001-03-05,1.299
2001-03-06,1.371
2001-03-07,1.3551
2001-03-08,1.327
2001-03-09,1.2913
2001-03-12,1.1874
2001-03-13,1.2473
2001-03-14,1.3034
2001-03-15,1.2556
2001-03-16,1.2512
2001-03-19,1.3111
2001-03-20,1.2556
2001-03-21,1.283
2001-03-22,1.3787
2001-03-23,1.4667
2001-03-26,1.3889
2001-03-27,1.4584
2001-03-28,1.4138
2001-03-29,1.4367
2001-03-30,1.4074
2001-04-02,1.3768
2001-04-03,1.2907
2001-04-04,1.2435
2001-04-05,1.3309
2001-04-06,1.313
2001-04-09,1.3098
2001-04-10,1.4055
2001-04-11,1.3902
2001-04-12,1.4297
2001-04-16,1.3672
2001-04-17,1.3009
2001-04-18,1.4533
2001-04-19,1.6401
2001-04-20,1.5968
2001-04-23,1.5464
2001-04-24,1.5324
2001-04-25,1.5764
2001-04-26,1.5745
2001-04-27,1.6708
2001-04-30,1.6255
2001-05-01,1.6535
2001-05-02,1.6956
2001-05-03,1.5917
2001-05-04,1.6421
2001-05-07,1.5917
2001-05-08,1.5668
2001-05-09,1.5292
2001-05-10,1.4667
2001-05-11,1.4571
2001-05-14,1.4852
2001-05-15,1.4782
2001-05-16,1.5368
2001-05-17,1.5018
2001-05-18,1.5005
2001-05-21,1.5024
2001-05-22,1.4986
2001-05-23,1.4814
2001-05-24,1.4794
2001-05-25,1.4514
2001-05-29,1.3691
2001-05-30,1.2614
2001-05-31,1.2722
2001-06-01,1.3321
2001-06-04,1.3175
2001-06-05,1.3353
2001-06-06,1.3219
2001-06-07,1.3812
2001-06-08,1.3596
2001-06-11,1.2779
2001-06-12,1.2952
2001-06-13,1.3054
2001-06-14,1.2677
2001-06-15,1.3034
2001-06-18,1.2964
2001-06-19,1.2875
2001-06-20,1.3819
2001-06-21,1.4342
2001-06-22,1.4195
2001-06-25,1.5298
2001-06-26,1.5145
2001-06-27,1.4884
2001-06-28,1.5011
2001-06-29,1.4826
2001-07-02,1.5241
2001-07-03,1.5203
2001-07-05,1.4788
2001-07-06,1.4048
2001-07-09,1.4476
